case_id,date,crime_type,district,latitude,longitude,offender_age,offender_gender,victim_age,victim_gender,time_of_day,season,prior_offenses,recidivism,severity_score,arrest_made,weapon_used,gang_related
CASE00422,2020-04-15,Drug Offense,South,13.00703,77.503184,53,Male,30,Male,Afternoon,Spring,0,No,5.52,Yes,Yes,No
CASE00423,2020-04-15,Theft,South,12.916405,77.623237,41,Male,41,Female,Evening,Spring,8,No,9.56,Yes,No,No
CASE00424,2020-04-15,Robbery,South,12.906988,77.692166,26,Male,17,Male,Night,Autumn,9,No,5.55,Yes,Yes,No
CASE00425,2020-04-16,Theft,West,13.097951,77.680574,41,Female,25,Female,Morning,Winter,8,No,5.25,Yes,No,No
CASE00426,2020-04-16,Robbery,North,12.906004,77.639351,32,Male,49,Unknown,Evening,Winter,8,No,5.04,Yes,Yes,No
CASE00427,2020-04-16,Burglary,West,12.988906,77.519328,39,Male,36,Female,Night,Summer,5,No,4.01,No,No,No
CASE00428,2020-04-16,Sexual Offense,South,13.000924,77.554833,43,Male,27,Male,Evening,Spring,3,No,5.8,Yes,Yes,No
CASE00429,2020-04-17,Burglary,Central,12.923456,77.564011,50,Male,44,Female,Afternoon,Autumn,1,No,5.07,Yes,No,No
CASE00430,2020-04-17,Theft,East,12.933812,77.65263,46,Male,61,Male,Night,Spring,3,Yes,1.33,Yes,No,No
CASE00431,2020-04-17,Theft,Southeast,12.970361,77.66045,28,Female,24,Unknown,Morning,Spring,6,No,3.34,Yes,No,No
CASE00432,2020-04-17,Drug Offense,West,13.052335,77.577021,50,Male,72,Male,Morning,Spring,0,No,2.92,No,No,No
CASE00433,2020-04-18,Fraud,North,13.001416,77.583577,31,Male,62,Male,Afternoon,Winter,8,No,8.81,No,Yes,No
CASE00434,2020-04-18,Theft,North,13.02758,77.508902,30,Male,75,Male,Afternoon,Spring,2,Yes,6.39,Yes,Yes,Yes
CASE00435,2020-04-18,Theft,Downtown,13.097035,77.557827,58,Male,40,Male,Afternoon,Summer,3,No,7.87,No,Yes,No
CASE00436,2020-04-18,Vandalism,East,13.053601,77.590257,33,Male,70,Female,Afternoon,Autumn,4,No,9.61,No,No,No
CASE00437,2020-04-19,Theft,Southwest,12.986872,77.523397,62,Male,73,Female,Afternoon,Autumn,2,Yes,6.8,Yes,No,No
CASE00438,2020-04-19,Drug Offense,Northwest,12.989288,77.590653,52,Female,43,Female,Night,Spring,3,No,9.84,Yes,No,No
CASE00439,2020-04-19,Vandalism,South,13.023754,77.670635,63,Female,64,Female,Night,Autumn,4,Yes,3.81,No,Yes,No
CASE00440,2020-04-19,Theft,Southwest,13.033073,77.616264,63,Male,68,Female,Evening,Spring,0,No,2.68,Yes,No,No
CASE00441,2020-04-20,Theft,Downtown,13.000142,77.515786,64,Male,12,Male,Afternoon,Winter,8,Yes,4.63,Yes,No,No
CASE00442,2020-04-20,Kidnapping,South,13.028972,77.538334,56,Male,26,Male,Morning,Autumn,9,No,5.24,Yes,No,Yes
CASE00443,2020-04-20,Burglary,East,12.904706,77.594909,42,Male,55,Male,Morning,Winter,9,Yes,9.06,No,No,No
CASE00444,2020-04-20,Burglary,Downtown,12.985925,77.572297,50,Female,47,Male,Afternoon,Winter,3,No,6.04,No,No,No
CASE00445,2020-04-21,Drug Offense,South,12.955788,77.571745,60,Male,44,Male,Afternoon,Summer,8,Yes,3.63,No,No,No
CASE00446,2020-04-21,Sexual Offense,East,12.925835,77.605853,50,Female,10,Male,Afternoon,Summer,3,Yes,7.68,No,Yes,No
CASE00447,2020-04-21,Kidnapping,Northeast,12.919909,77.616879,43,Male,38,Male,Afternoon,Autumn,0,No,5.55,No,No,No
CASE00448,2020-04-21,Drug Offense,Southwest,13.020638,77.659372,54,Male,13,Male,Afternoon,Spring,4,Yes,2.46,No,No,No
CASE00449,2020-04-22,Burglary,Southwest,13.00472,77.568193,53,Male,70,Female,Morning,Spring,8,Yes,6.19,No,Yes,No
CASE00450,2020-04-22,Theft,Northwest,12.950717,77.661093,24,Female,26,Male,Evening,Spring,2,Yes,9.2,No,Yes,No
CASE00451,2020-04-22,Drug Offense,East,12.99419,77.567722,27,Male,37,Female,Afternoon,Spring,4,No,8.58,Yes,Yes,No
CASE00452,2020-04-22,Robbery,West,12.998446,77.511087,30,Male,59,Female,Afternoon,Summer,2,No,6.28,No,No,No
CASE00453,2020-04-23,Burglary,Northeast,12.939002,77.610838,36,Male,17,Female,Afternoon,Spring,2,Yes,4.39,No,Yes,No
CASE00454,2020-04-23,Sexual Offense,Central,13.030419,77.61758,50,Unknown,43,Male,Night,Spring,0,Yes,1.78,No,No,No
CASE00455,2020-04-23,Theft,South,13.056184,77.686908,57,Male,68,Male,Morning,Winter,1,No,5.23,No,Yes,No
CASE00456,2020-04-23,Robbery,Northeast,13.058293,77.645212,48,Male,27,Male,Morning,Spring,1,Yes,7.77,No,No,No
CASE00457,2020-04-24,Theft,East,13.020494,77.683555,34,Male,68,Male,Evening,Spring,8,No,4.24,No,No,No
CASE00458,2020-04-24,Burglary,Southeast,13.002328,77.681669,38,Female,36,Male,Night,Summer,6,No,3.12,Yes,No,Yes
CASE00459,2020-04-24,Theft,South,12.912201,77.620915,28,Female,25,Female,Night,Autumn,7,No,9.38,Yes,Yes,No
CASE00460,2020-04-24,Theft,North,12.957566,77.605552,59,Male,19,Female,Night,Winter,1,Yes,8.39,Yes,No,No
CASE00461,2020-04-25,Theft,Southwest,12.918654,77.611488,16,Male,31,Female,Evening,Winter,8,No,6.74,Yes,No,No
CASE00462,2020-04-25,Fraud,East,13.092765,77.695666,44,Male,25,Male,Evening,Autumn,2,No,2.23,Yes,No,No
CASE00463,2020-04-25,Vandalism,North,12.927016,77.654634,39,Male,21,Male,Evening,Winter,9,No,2.3,Yes,Yes,No
CASE00464,2020-04-25,Fraud,Northwest,12.930355,77.521253,31,Male,60,Female,Night,Spring,1,No,1.93,Yes,Yes,No
CASE00465,2020-04-26,Kidnapping,Downtown,13.077915,77.655686,40,Male,10,Male,Morning,Spring,0,No,6.55,No,No,No
CASE00466,2020-04-26,Burglary,Central,13.088786,77.534108,38,Male,36,Female,Night,Autumn,8,No,2.04,Yes,Yes,No
CASE00467,2020-04-26,Assault,Central,13.053166,77.58947,43,Male,76,Female,Evening,Summer,7,Yes,8.58,No,Yes,No
CASE00468,2020-04-26,Homicide,North,12.901081,77.542092,62,Female,21,Male,Night,Summer,3,No,9.94,No,No,No
CASE00469,2020-04-27,Assault,Southwest,12.900269,77.637917,31,Male,39,Male,Afternoon,Winter,6,Yes,4.3,Yes,No,No
CASE00470,2020-04-27,Kidnapping,Northwest,12.97562,77.675462,58,Male,18,Male,Night,Summer,2,No,5.08,Yes,No,No
CASE00471,2020-04-27,Theft,Southeast,12.928679,77.558072,53,Male,62,Male,Night,Summer,2,No,7.41,No,No,No
CASE00472,2020-04-27,Kidnapping,Southwest,12.903677,77.516402,26,Male,70,Male,Morning,Summer,3,No,9.43,No,No,No
CASE00473,2020-04-28,Theft,Northeast,12.992813,77.559699,18,Male,63,Male,Morning,Summer,1,No,9.05,Yes,No,No
CASE00474,2020-04-28,Sexual Offense,Central,13.088612,77.634472,30,Female,46,Male,Morning,Summer,9,Yes,1.52,Yes,No,No
CASE00475,2020-04-28,Robbery,Northeast,12.964764,77.565752,16,Male,74,Female,Afternoon,Summer,3,Yes,2.52,Yes,No,No
CASE00476,2020-04-28,Kidnapping,South,13.032228,77.555622,22,Male,51,Female,Morning,Summer,9,No,7.79,Yes,Yes,Yes
CASE00477,2020-04-29,Theft,West,13.030447,77.536887,16,Male,58,Male,Afternoon,Winter,2,No,7.2,Yes,Yes,No
CASE00478,2020-04-29,Robbery,East,12.950216,77.599503,64,Male,13,Female,Evening,Spring,7,No,2.2,Yes,No,Yes
CASE00479,2020-04-29,Kidnapping,Northwest,13.030085,77.55519,47,Male,73,Unknown,Morning,Summer,1,Yes,5.52,No,No,No
CASE00480,2020-04-29,Robbery,Southwest,12.942467,77.646202,24,Male,60,Unknown,Night,Spring,8,No,8.03,No,No,No
CASE00481,2020-04-30,Fraud,Central,12.924401,77.515324,44,Male,69,Female,Night,Autumn,2,No,2.97,No,No,No
CASE00482,2020-04-30,Vandalism,Northeast,13.040277,77.632807,41,Male,40,Male,Afternoon,Spring,3,No,8.84,No,Yes,No
CASE00483,2020-04-30,Burglary,Downtown,12.922688,77.547512,38,Male,67,Male,Morning,Autumn,9,No,1.48,No,Yes,No
CASE00484,2020-04-30,Fraud,South,13.099382,77.597856,60,Male,13,Female,Night,Winter,9,No,8.04,No,Yes,No
CASE00485,2020-05-01,Fraud,East,12.93669,77.557218,58,Male,31,Female,Evening,Spring,2,No,6.54,Yes,No,Yes
CASE00486,2020-05-01,Sexual Offense,East,13.018828,77.644554,44,Male,12,Female,Morning,Autumn,2,No,3.84,Yes,No,No
CASE00487,2020-05-01,Theft,Southwest,12.982275,77.689061,53,Female,56,Unknown,Evening,Spring,7,Yes,7.49,No,No,Yes
CASE00488,2020-05-01,Assault,Northwest,12.925277,77.683415,48,Male,47,Female,Night,Winter,7,No,8.04,No,No,No
CASE00489,2020-05-02,Kidnapping,Southeast,12.905569,77.616685,22,Female,42,Male,Morning,Spring,5,No,9.41,Yes,No,No
CASE00490,2020-05-02,Sexual Offense,Downtown,13.024546,77.592522,27,Male,57,Male,Afternoon,Autumn,3,No,4.31,Yes,No,Yes
CASE00491,2020-05-02,Burglary,Southwest,13.061352,77.66366,46,Female,74,Male,Night,Summer,0,No,7.17,No,No,No
CASE00492,2020-05-02,Fraud,Northeast,13.068403,77.636665,47,Male,35,Female,Evening,Summer,3,No,6.42,Yes,No,No
CASE00493,2020-05-03,Assault,West,12.996543,77.536713,35,Male,17,Female,Morning,Summer,7,No,5.73,Yes,No,No
CASE00494,2020-05-03,Theft,North,13.055491,77.664184,32,Male,59,Female,Evening,Winter,5,No,9.01,No,No,No
CASE00495,2020-05-03,Burglary,Southeast,13.034569,77.585777,51,Male,47,Female,Evening,Summer,1,No,1.03,Yes,No,No
CASE00496,2020-05-03,Burglary,Northwest,13.044851,77.537797,18,Unknown,19,Female,Afternoon,Winter,2,No,3.54,No,No,No
CASE00497,2020-05-04,Fraud,South,12.99852,77.556359,16,Male,51,Female,Afternoon,Summer,6,Yes,5.84,No,No,No
CASE00498,2020-05-04,Theft,Southeast,13.026682,77.553505,42,Unknown,46,Female,Night,Winter,3,No,2.6,Yes,No,No
CASE00499,2020-05-04,Kidnapping,Central,13.061105,77.603841,62,Male,35,Male,Afternoon,Winter,3,No,9.17,Yes,No,No
CASE00500,2020-05-04,Kidnapping,Northwest,12.979577,77.546874,55,Male,21,Female,Afternoon,Spring,4,Yes,6.83,Yes,Yes,No
CASE00501,2020-05-05,Vandalism,West,13.061196,77.524713,48,Male,58,Female,Night,Summer,7,Yes,5.3,Yes,No,Yes
CASE00502,2020-05-05,Robbery,Central,13.018403,77.524738,35,Male,23,Male,Night,Spring,6,No,8.33,No,No,No
CASE00503,2020-05-05,Assault,Southeast,12.93318,77.616655,29,Female,55,Male,Night,Autumn,8,No,5.06,Yes,Yes,No
CASE00504,2020-05-05,Drug Offense,North,12.904937,77.646952,51,Male,44,Female,Night,Summer,4,No,6.03,Yes,No,No
CASE00505,2020-05-06,Vandalism,North,12.972551,77.564307,20,Male,38,Male,Evening,Summer,0,Yes,1.02,Yes,No,No
CASE00506,2020-05-06,Theft,West,13.009339,77.50693,38,Unknown,21,Male,Evening,Summer,3,Yes,4.29,Yes,No,Yes
CASE00507,2020-05-06,Sexual Offense,East,13.067964,77.525445,60,Male,53,Male,Night,Summer,5,No,2.25,Yes,No,No
CASE00508,2020-05-06,Drug Offense,Downtown,12.925497,77.682939,30,Male,75,Female,Night,Spring,5,Yes,7.21,No,No,Yes
CASE00509,2020-05-07,Sexual Offense,South,13.060041,77.598709,21,Male,11,Female,Morning,Spring,8,Yes,5.31,Yes,No,No
CASE00510,2020-05-07,Vandalism,East,13.072602,77.590715,48,Male,68,Male,Morning,Winter,9,Yes,3.72,Yes,Yes,Yes
CASE00511,2020-05-07,Fraud,North,12.930137,77.50761,34,Male,26,Male,Morning,Spring,4,Yes,5.21,Yes,No,No
CASE00512,2020-05-07,Burglary,North,13.070319,77.645727,28,Male,19,Unknown,Afternoon,Winter,4,Yes,2.89,No,No,No
CASE00513,2020-05-08,Sexual Offense,Northeast,13.098291,77.605614,44,Male,27,Female,Evening,Autumn,5,No,9.33,Yes,No,No
CASE00514,2020-05-08,Homicide,Central,13.045368,77.540416,21,Male,31,Female,Evening,Spring,5,Yes,1.49,No,Yes,No
CASE00515,2020-05-08,Theft,Southeast,13.056954,77.522015,30,Male,67,Male,Morning,Winter,2,No,8.79,Yes,No,No
CASE00516,2020-05-08,Theft,South,13.098883,77.576678,31,Unknown,62,Male,Morning,Summer,5,No,5.6,No,No,Yes
CASE00517,2020-05-09,Burglary,West,13.021096,77.667432,39,Male,10,Male,Evening,Autumn,7,No,6.57,Yes,No,No
CASE00518,2020-05-09,Drug Offense,Southeast,12.961577,77.673059,38,Male,70,Female,Afternoon,Winter,5,No,3.72,No,No,Yes
CASE00519,2020-05-09,Kidnapping,Northeast,13.067506,77.620569,63,Male,40,Male,Morning,Autumn,4,No,9.7,No,No,Yes
CASE00520,2020-05-09,Theft,North,13.022897,77.645507,25,Male,40,Male,Night,Summer,2,No,3.54,No,Yes,Yes
CASE00521,2020-05-10,Fraud,West,13.016239,77.523031,56,Male,75,Male,Morning,Summer,0,No,6.3,Yes,No,No
CASE00522,2020-05-10,Burglary,North,12.950727,77.617625,56,Female,28,Male,Evening,Winter,4,No,9.94,No,No,No
CASE00523,2020-05-10,Kidnapping,South,13.051267,77.633393,64,Female,62,Female,Evening,Winter,5,No,8.93,No,Yes,No
CASE00524,2020-05-10,Drug Offense,Central,12.916333,77.540143,32,Male,31,Male,Morning,Summer,5,No,5.83,Yes,No,No
CASE00525,2020-05-11,Drug Offense,Southeast,13.084857,77.676031,64,Male,32,Female,Morning,Winter,5,Yes,9.91,Yes,No,No
CASE00526,2020-05-11,Burglary,Southeast,12.965165,77.538999,59,Male,24,Female,Night,Summer,2,No,7.31,No,No,No
CASE00527,2020-05-11,Burglary,East,12.925555,77.562695,60,Male,35,Male,Night,Spring,3,No,2.88,Yes,No,No
CASE00528,2020-05-11,Assault,West,12.988473,77.624111,45,Male,12,Female,Afternoon,Winter,2,No,4.65,No,Yes,No
CASE00529,2020-05-12,Theft,Downtown,12.908494,77.62767,59,Female,29,Unknown,Afternoon,Autumn,1,Yes,4.01,Yes,No,No
CASE00530,2020-05-12,Homicide,Northeast,13.036925,77.639877,61,Male,49,Unknown,Night,Summer,7,No,4.1,Yes,No,No
CASE00531,2020-05-12,Drug Offense,Downtown,13.080541,77.522402,25,Unknown,48,Male,Afternoon,Spring,6,No,7.84,No,No,No
CASE00532,2020-05-12,Kidnapping,East,13.067453,77.669893,34,Male,27,Male,Afternoon,Winter,7,Yes,6.26,Yes,No,No
CASE00533,2020-05-13,Kidnapping,South,12.925474,77.606569,44,Male,50,Male,Morning,Summer,5,No,1.34,No,Yes,No
CASE00534,2020-05-13,Robbery,Northeast,12.925254,77.594264,17,Male,79,Female,Night,Spring,6,No,8.9,No,Yes,No
CASE00535,2020-05-13,Drug Offense,Central,13.062687,77.69622,51,Male,36,Female,Morning,Winter,0,No,3.67,No,No,No
CASE00536,2020-05-13,Sexual Offense,Downtown,13.084851,77.648076,34,Male,24,Female,Morning,Summer,9,No,9.97,No,No,Yes
CASE00537,2020-05-14,Drug Offense,Central,12.992134,77.523601,22,Male,46,Male,Afternoon,Summer,4,No,9.59,No,Yes,No
CASE00538,2020-05-14,Assault,Downtown,12.999794,77.651308,41,Male,67,Male,Morning,Summer,3,No,9.46,Yes,No,Yes
CASE00539,2020-05-14,Burglary,Central,12.963652,77.51905,30,Female,14,Female,Evening,Winter,9,No,8.3,No,No,No
CASE00540,2020-05-14,Theft,Downtown,13.078853,77.505494,62,Male,16,Female,Afternoon,Spring,2,No,2.99,Yes,Yes,No
CASE00541,2020-05-15,Kidnapping,Central,13.028981,77.580725,53,Female,50,Female,Evening,Summer,1,No,5.79,Yes,Yes,No
CASE00542,2020-05-15,Fraud,East,12.95765,77.698716,18,Male,19,Male,Afternoon,Spring,8,No,3.02,Yes,Yes,Yes
CASE00543,2020-05-15,Assault,Northwest,12.959757,77.534977,53,Female,71,Male,Morning,Spring,7,No,3.34,No,No,No
CASE00544,2020-05-15,Vandalism,Northeast,13.07824,77.634529,31,Male,35,Male,Afternoon,Autumn,9,Yes,6.5,Yes,No,No
CASE00545,2020-05-16,Fraud,West,12.902727,77.534679,17,Male,77,Male,Evening,Spring,1,Yes,1.37,Yes,No,No
CASE00546,2020-05-16,Burglary,South,12.964545,77.644957,46,Male,33,Male,Afternoon,Spring,5,No,9.73,No,No,No
CASE00547,2020-05-16,Theft,Southwest,13.010871,77.601071,43,Male,50,Male,Evening,Spring,2,No,9.27,Yes,No,No
CASE00548,2020-05-16,Vandalism,North,12.929643,77.635994,22,Male,74,Male,Night,Spring,2,No,4.43,No,Yes,No
CASE00549,2020-05-17,Robbery,West,12.91842,77.540575,45,Male,26,Male,Morning,Spring,4,Yes,5.64,No,No,No
CASE00550,2020-05-17,Drug Offense,North,13.063055,77.649126,58,Male,33,Male,Evening,Winter,6,No,5.2,Yes,Yes,No
CASE00551,2020-05-17,Robbery,Northeast,13.078881,77.699124,22,Male,36,Female,Night,Autumn,6,Yes,8.94,Yes,No,No
CASE00552,2020-05-17,Homicide,West,13.064721,77.63313,51,Male,16,Male,Morning,Summer,9,No,7.2,No,No,No
CASE00553,2020-05-18,Robbery,Central,13.079758,77.598696,44,Male,21,Female,Night,Autumn,0,Yes,3.5,Yes,Yes,No
CASE00554,2020-05-18,Robbery,Central,13.010622,77.684635,39,Male,12,Female,Evening,Autumn,6,No,5.02,Yes,No,No
CASE00555,2020-05-18,Homicide,Southwest,13.062452,77.50317,54,Male,19,Female,Morning,Summer,6,Yes,4.86,Yes,No,No
CASE00556,2020-05-18,Burglary,North,12.976809,77.645985,19,Female,42,Unknown,Night,Spring,5,Yes,9.63,Yes,No,Yes
CASE00557,2020-05-19,Theft,South,13.033254,77.677749,44,Male,55,Male,Evening,Summer,5,No,2.58,Yes,Yes,No
CASE00558,2020-05-19,Theft,Northeast,13.097767,77.512335,59,Male,68,Female,Night,Spring,1,Yes,1.81,Yes,Yes,No
CASE00559,2020-05-19,Drug Offense,Central,12.945146,77.590013,20,Male,61,Unknown,Morning,Summer,2,Yes,8.93,No,No,No
CASE00560,2020-05-19,Fraud,Northwest,12.97798,77.540944,44,Male,15,Female,Morning,Winter,2,No,9.07,Yes,No,Yes
CASE00561,2020-05-20,Vandalism,East,12.996009,77.613304,45,Male,11,Male,Morning,Autumn,2,Yes,8.85,No,Yes,No
CASE00562,2020-05-20,Assault,East,12.927603,77.629909,44,Male,38,Male,Evening,Spring,1,No,5.6,Yes,No,No
CASE00563,2020-05-20,Theft,Downtown,12.916208,77.560525,41,Male,49,Male,Night,Autumn,8,Yes,6.94,Yes,No,No
CASE00564,2020-05-20,Theft,South,13.065945,77.591996,34,Male,70,Female,Night,Spring,5,Yes,6.07,No,No,No
CASE00565,2020-05-21,Burglary,East,13.095359,77.555868,41,Male,77,Female,Evening,Summer,1,No,1.63,No,Yes,No
CASE00566,2020-05-21,Fraud,Downtown,12.980945,77.573878,52,Female,77,Male,Morning,Summer,2,Yes,6.36,No,No,No
CASE00567,2020-05-21,Burglary,North,12.91753,77.531908,42,Male,38,Female,Afternoon,Summer,9,No,1.12,No,Yes,Yes
CASE00568,2020-05-21,Burglary,Central,12.913162,77.677112,45,Male,71,Female,Morning,Winter,5,No,3.92,No,No,No
CASE00569,2020-05-22,Sexual Offense,Central,13.078264,77.502002,45,Male,69,Male,Afternoon,Summer,3,Yes,9.39,Yes,No,No
CASE00570,2020-05-22,Assault,Northwest,12.992763,77.676482,18,Male,50,Female,Morning,Summer,6,No,3.74,No,Yes,No
CASE00571,2020-05-22,Robbery,West,12.964005,77.614336,58,Male,74,Female,Evening,Winter,5,Yes,9.46,No,No,No
CASE00572,2020-05-22,Drug Offense,East,12.995292,77.566332,22,Male,73,Male,Afternoon,Autumn,5,Yes,3.25,No,Yes,No
CASE00573,2020-05-23,Burglary,North,12.963661,77.644611,64,Male,72,Female,Evening,Autumn,2,Yes,3.83,No,No,Yes
CASE00574,2020-05-23,Fraud,Southeast,12.997807,77.60155,24,Unknown,57,Male,Afternoon,Spring,7,No,6.66,No,Yes,No
CASE00575,2020-05-23,Homicide,East,13.071911,77.599822,56,Unknown,29,Female,Night,Autumn,8,No,7.85,Yes,Yes,No
CASE00576,2020-05-23,Sexual Offense,South,13.01846,77.522028,57,Male,46,Unknown,Afternoon,Spring,5,Yes,5.51,No,No,Yes
CASE00577,2020-05-24,Theft,West,13.038931,77.577903,28,Unknown,73,Female,Afternoon,Spring,1,No,8.94,No,No,No
CASE00578,2020-05-24,Sexual Offense,East,12.972934,77.548213,30,Male,14,Male,Afternoon,Autumn,0,No,1.36,No,Yes,No
CASE00579,2020-05-24,Robbery,North,13.047701,77.503139,20,Male,43,Male,Night,Autumn,2,No,9.3,No,Yes,No
CASE00580,2020-05-24,Assault,East,13.033323,77.57202,44,Male,48,Male,Evening,Winter,2,No,2.77,Yes,Yes,No
CASE00581,2020-05-25,Burglary,South,12.923912,77.517964,50,Male,76,Female,Night,Spring,7,No,8.96,No,No,No
CASE00582,2020-05-25,Kidnapping,Southeast,13.014529,77.551366,42,Male,71,Male,Afternoon,Autumn,4,Yes,4.61,No,No,No
CASE00583,2020-05-25,Robbery,Northeast,12.951349,77.518503,42,Unknown,33,Female,Morning,Autumn,0,Yes,8.49,No,No,No
CASE00584,2020-05-25,Assault,Southwest,13.060819,77.520188,23,Male,12,Male,Night,Winter,3,No,7.04,Yes,No,No
CASE00585,2020-05-26,Fraud,Southeast,12.985188,77.539802,47,Male,76,Male,Morning,Autumn,6,No,2.58,No,Yes,No
CASE00586,2020-05-26,Assault,Downtown,13.098937,77.69997,35,Female,59,Male,Night,Summer,4,No,9.26,Yes,No,No
CASE00587,2020-05-26,Theft,East,12.9185,77.500437,25,Male,38,Unknown,Night,Summer,9,Yes,3.21,No,Yes,Yes
CASE00588,2020-05-26,Theft,Central,13.05607,77.627735,28,Male,41,Female,Afternoon,Spring,5,No,3.2,Yes,No,Yes
CASE00589,2020-05-27,Theft,Northwest,13.03474,77.528249,44,Male,48,Male,Evening,Winter,9,No,8.33,No,No,Yes
CASE00590,2020-05-27,Theft,Central,13.0535,77.684126,50,Male,18,Male,Evening,Autumn,3,No,1.95,Yes,No,No
CASE00591,2020-05-27,Theft,Southeast,12.961506,77.518727,23,Male,23,Female,Afternoon,Spring,1,Yes,3.0,Yes,Yes,No
CASE00592,2020-05-27,Fraud,Central,12.998411,77.691013,44,Male,77,Male,Night,Autumn,8,No,5.53,No,Yes,No
CASE00593,2020-05-28,Theft,North,13.059302,77.622185,46,Male,73,Female,Evening,Summer,1,No,8.47,Yes,No,No
CASE00594,2020-05-28,Assault,Central,12.946508,77.500254,56,Unknown,29,Female,Evening,Autumn,1,No,2.33,No,No,No
CASE00595,2020-05-28,Sexual Offense,West,12.945207,77.678801,45,Female,37,Female,Evening,Autumn,1,No,5.93,No,Yes,No
CASE00596,2020-05-28,Robbery,Northeast,13.01021,77.604342,37,Male,23,Female,Afternoon,Autumn,0,No,7.4,No,Yes,No
CASE00597,2020-05-29,Fraud,East,13.004713,77.552534,36,Male,53,Female,Morning,Summer,2,Yes,8.75,Yes,No,No
CASE00598,2020-05-29,Theft,Central,12.956452,77.653456,27,Male,48,Female,Morning,Summer,5,No,9.42,No,No,No
CASE00599,2020-05-29,Theft,South,12.959615,77.685333,26,Unknown,37,Female,Morning,Winter,6,No,8.06,Yes,No,No
CASE00600,2020-05-29,Theft,Northeast,12.955569,77.596738,17,Male,73,Female,Morning,Summer,0,No,6.88,No,Yes,No
CASE00601,2020-05-30,Theft,Northeast,13.054302,77.563111,56,Male,41,Male,Morning,Spring,4,No,4.9,No,No,No
CASE00602,2020-05-30,Assault,Central,13.03038,77.657789,17,Female,18,Male,Evening,Autumn,4,Yes,2.01,Yes,Yes,No
CASE00603,2020-05-30,Theft,Northeast,13.066483,77.636357,49,Unknown,37,Male,Evening,Summer,0,No,7.39,Yes,No,No
CASE00604,2020-05-30,Theft,Northwest,13.095095,77.67775,18,Male,26,Female,Night,Spring,3,No,9.93,Yes,Yes,No
CASE00605,2020-05-31,Theft,Central,12.994833,77.638503,31,Male,64,Female,Evening,Summer,9,No,7.63,No,Yes,No
CASE00606,2020-05-31,Burglary,North,12.913339,77.548706,19,Male,19,Male,Afternoon,Autumn,0,No,1.15,Yes,Yes,No
CASE00607,2020-05-31,Assault,Southeast,12.909618,77.686332,38,Male,15,Male,Night,Spring,0,No,5.47,No,No,No
CASE00608,2020-05-31,Burglary,West,12.959133,77.520967,35,Male,57,Male,Evening,Summer,6,No,6.53,No,No,No
CASE00609,2020-06-01,Robbery,Southwest,13.086509,77.553589,40,Male,76,Female,Night,Summer,6,No,7.21,No,No,No
CASE00610,2020-06-01,Vandalism,Downtown,13.004643,77.604039,45,Male,50,Female,Night,Spring,2,No,7.48,No,No,Yes
CASE00611,2020-06-01,Theft,Northeast,12.954357,77.613148,33,Male,69,Female,Morning,Winter,6,No,6.02,Yes,No,No
CASE00612,2020-06-01,Drug Offense,North,12.979833,77.503062,57,Male,51,Male,Night,Spring,2,No,3.01,No,No,No
CASE00613,2020-06-02,Fraud,East,13.019719,77.656115,26,Male,37,Female,Evening,Spring,1,No,9.48,No,No,No
CASE00614,2020-06-02,Theft,East,13.03059,77.572321,44,Male,22,Male,Morning,Spring,9,Yes,7.27,No,No,No
CASE00615,2020-06-02,Homicide,Downtown,12.930784,77.581284,32,Female,24,Female,Evening,Spring,3,No,3.13,Yes,Yes,No
CASE00616,2020-06-02,Sexual Offense,West,13.095406,77.661874,41,Male,45,Male,Morning,Summer,9,Yes,3.9,Yes,No,No
CASE00617,2020-06-03,Theft,Northeast,13.008954,77.575857,38,Male,24,Female,Evening,Spring,2,Yes,9.3,Yes,Yes,No
CASE00618,2020-06-03,Assault,Northwest,12.927138,77.509445,63,Male,65,Male,Morning,Spring,6,No,8.99,Yes,No,Yes
CASE00619,2020-06-03,Drug Offense,Downtown,13.078727,77.535288,35,Male,13,Male,Morning,Autumn,0,No,4.65,Yes,No,No
CASE00620,2020-06-03,Vandalism,West,12.914928,77.691181,60,Male,61,Unknown,Afternoon,Summer,5,No,1.34,Yes,No,No
CASE00621,2020-06-04,Theft,Northeast,13.081547,77.514081,17,Female,19,Male,Evening,Autumn,1,Yes,1.44,No,No,No
CASE00622,2020-06-04,Assault,North,13.099313,77.570986,39,Male,54,Male,Night,Summer,7,No,3.56,Yes,Yes,No
CASE00623,2020-06-04,Burglary,Southeast,13.040086,77.600636,46,Male,38,Female,Morning,Winter,4,No,6.66,No,No,No
CASE00624,2020-06-04,Robbery,Northwest,13.054089,77.598656,42,Male,62,Female,Evening,Winter,2,No,6.26,Yes,No,Yes
CASE00625,2020-06-05,Fraud,Southwest,12.967461,77.500792,17,Male,38,Male,Morning,Summer,9,No,6.7,No,Yes,No
CASE00626,2020-06-05,Burglary,East,13.088315,77.600233,29,Female,32,Female,Afternoon,Winter,6,No,7.46,No,No,Yes
CASE00627,2020-06-05,Burglary,South,13.005943,77.576754,19,Male,66,Female,Afternoon,Winter,1,Yes,1.17,No,Yes,Yes
CASE00628,2020-06-05,Vandalism,North,13.046478,77.694416,64,Male,59,Male,Afternoon,Summer,4,No,1.95,No,No,No
